endpoint,phenotype,n,events,weighted_prevalence,baseline_weighted_prevalence,prevalence_ratio,risk_difference,prevalence_ratio_ci_low,prevalence_ratio_ci_high,risk_difference_ci_low,risk_difference_ci_high,bootstrap_n,bootstrap_seed,bootstrap_method,bootstrap_strata,bootstrap_clusters,analysis_set,analysis,endpoint_order
contraceptive_vulnerability,0,2427,146,0.0564264435882025,0.0781060798577798,0.7224334352837473,-0.0216796362695772,0.6345169932129583,0.8122367683976038,-0.0288135679619411,-0.0145030117491239,2000,20260604.0,stratified cluster percentile bootstrap using VEST/VECL with public-use weights retained,20.0,80.0,Full cohort,,0
contraceptive_vulnerability,1,2224,238,0.1038013269058726,0.0781060798577798,1.3289788335924706,0.0256952470480927,1.2216012104747158,1.4444909724502883,0.0173210727879276,0.0347870472030496,2000,20260604.0,stratified cluster percentile bootstrap using VEST/VECL with public-use weights retained,20.0,80.0,Full cohort,,0
contraceptive_vulnerability,2,242,21,0.0760150093434948,0.0781060798577798,0.9732278137874472,-0.002091070514285,0.5854413108297063,1.389847936993199,-0.0315775548855499,0.0304576757606908,2000,20260604.0,stratified cluster percentile bootstrap using VEST/VECL with public-use weights retained,20.0,80.0,Full cohort,,0
fertility_service_or_loss_help,0,2427,114,0.043121984723298,0.1110077339598059,0.3884592828362011,-0.0678857492365079,0.3340616117217869,0.4472666355369377,-0.0765101377724406,-0.0590347147615162,2000,20260604.0,stratified cluster percentile bootstrap using VEST/VECL with public-use weights retained,20.0,80.0,Full cohort,,1
fertility_service_or_loss_help,1,2224,397,0.1824048410995679,0.1110077339598059,1.6431723682028652,0.071397107139762,1.5482508596052391,1.7528259230215553,0.0606339096669991,0.0835509685912579,2000,20260604.0,stratified cluster percentile bootstrap using VEST/VECL with public-use weights retained,20.0,80.0,Full cohort,,1
fertility_service_or_loss_help,2,242,44,0.1855565603317104,0.1110077339598059,1.6715642569453537,0.0745488263719045,1.1893969032678782,2.193284545074917,0.0208965824209074,0.1328427766149258,2000,20260604.0,stratified cluster percentile bootstrap using VEST/VECL with public-use weights retained,20.0,80.0,Full cohort,,1
unintended_mistimed_pregnancy_history,0,73,51,0.7324366579998677,0.6840133299372122,1.0707929596446613,0.0484233280626554,0.9024226115239876,1.2240687070808074,-0.0664496750140067,0.152874704666649,2000,,ever-pregnant stratum; stratified cluster percentile bootstrap using VEST/VECL,,,Ever-pregnant,2022-2023 ever-pregnant stratum,2
unintended_mistimed_pregnancy_history,1,2223,1506,0.6698091685394282,0.6840133299372122,0.9792340868575063,-0.014204161397784,0.9677254117219736,0.9910637205604628,-0.0220315230473759,-0.0061332897735968,2000,,ever-pregnant stratum; stratified cluster percentile bootstrap using VEST/VECL,,,Ever-pregnant,2022-2023 ever-pregnant stratum,2
unintended_mistimed_pregnancy_history,2,229,181,0.8003220796767584,0.6840133299372122,1.1700387180323262,0.1163087497395461,1.0883180345140877,1.2471527480099514,0.0603358130164259,0.1680901544239405,2000,,ever-pregnant stratum; stratified cluster percentile bootstrap using VEST/VECL,,,Ever-pregnant,2022-2023 ever-pregnant stratum,2
adverse_pregnancy_history_proxy,0,73,7,0.1590418975825933,0.1074826894990407,1.479697785046705,0.0515592080835525,0.237201929869128,2.809615943722306,-0.0786724272041493,0.2042149581430245,2000,,ever-pregnant stratum; stratified cluster percentile bootstrap using VEST/VECL,,,Ever-pregnant,2022-2023 ever-pregnant stratum,3
adverse_pregnancy_history_proxy,1,2223,219,0.0922473402370842,0.1074826894990407,0.8582529955943052,-0.0152353492619564,0.7882757740259102,0.9237653313050316,-0.0237568918841039,-0.0078315063926819,2000,,ever-pregnant stratum; stratified cluster percentile bootstrap using VEST/VECL,,,Ever-pregnant,2022-2023 ever-pregnant stratum,3
adverse_pregnancy_history_proxy,2,229,48,0.2323669656929976,0.1074826894990407,2.161901295697215,0.1248842761939568,1.600447910515355,2.8451994856559324,0.0638049541767169,0.1960926603313793,2000,,ever-pregnant stratum; stratified cluster percentile bootstrap using VEST/VECL,,,Ever-pregnant,2022-2023 ever-pregnant stratum,3
impaired_fecundity_status,0,2427,466,0.1784813340780449,0.2813104299924621,0.6344639766212276,-0.1028290959144171,0.5812644944526973,0.6844615126021792,-0.1190262231766204,-0.0872186476382293,2000,20260604.0,stratified cluster percentile bootstrap using VEST/VECL with public-use weights retained,20.0,80.0,Full cohort,,4
impaired_fecundity_status,1,2224,807,0.3876636940984057,0.2813104299924621,1.3780637074451647,0.1063532641059436,1.3207468279666514,1.43935578527951,0.090406795862909,0.1226829040961294,2000,20260604.0,stratified cluster percentile bootstrap using VEST/VECL with public-use weights retained,20.0,80.0,Full cohort,,4
impaired_fecundity_status,2,242,94,0.4102911449461803,0.2813104299924621,1.4584995833861345,0.1289807149537182,1.2235289209481204,1.6892334992419369,0.0624517727386689,0.1934435426997638,2000,20260604.0,stratified cluster percentile bootstrap using VEST/VECL with public-use weights retained,20.0,80.0,Full cohort,,4
