analysis,endpoint,phenotype,n,events,weighted_prevalence,baseline_weighted_prevalence,prevalence_ratio,risk_difference,encoder
endpoint-excluded encoder,contraceptive_vulnerability,0,2427,146,0.05642644358820258,0.07810607985777983,0.7224334352837473,-0.02167963626957725,endpoint-excluded
endpoint-excluded encoder,contraceptive_vulnerability,1,2224,238,0.1038013269058726,0.07810607985777983,1.3289788335924706,0.02569524704809277,endpoint-excluded
endpoint-excluded encoder,contraceptive_vulnerability,2,242,21,0.07601500934349482,0.07810607985777983,0.9732278137874472,-0.002091070514285004,endpoint-excluded
endpoint-excluded encoder,fertility_service_or_loss_help,0,2427,114,0.04312198472329802,0.11100773395980593,0.3884592828362011,-0.0678857492365079,endpoint-excluded
endpoint-excluded encoder,fertility_service_or_loss_help,1,2224,397,0.18240484109956792,0.11100773395980593,1.6431723682028652,0.071397107139762,endpoint-excluded
endpoint-excluded encoder,fertility_service_or_loss_help,2,242,44,0.18555656033171047,0.11100773395980593,1.6715642569453535,0.07454882637190455,endpoint-excluded
endpoint-excluded encoder,unintended_mistimed_pregnancy_history,0,2427,51,0.023098948099806595,0.3420909272258648,0.06752283168432456,-0.3189919791260582,endpoint-excluded
endpoint-excluded encoder,unintended_mistimed_pregnancy_history,1,2224,1506,0.669593266728918,0.3420909272258648,1.9573546488323568,0.32750233950305313,endpoint-excluded
endpoint-excluded encoder,unintended_mistimed_pregnancy_history,2,242,181,0.7638836000050179,0.3420909272258648,2.2329840963617995,0.42179267277915306,endpoint-excluded
endpoint-excluded encoder,adverse_pregnancy_history_proxy,0,2427,7,0.005015724565161978,0.05375458533071529,0.09330784591311879,-0.04873886076555331,endpoint-excluded
endpoint-excluded encoder,adverse_pregnancy_history_proxy,1,2224,219,0.09221760584599589,0.05375458533071529,1.7155300385752001,0.0384630205152806,endpoint-excluded
endpoint-excluded encoder,adverse_pregnancy_history_proxy,2,242,48,0.22178735134672328,0.05375458533071529,4.125924327798588,0.168032766016008,endpoint-excluded
endpoint-excluded encoder,impaired_fecundity_status,0,2427,466,0.17848133407804492,0.2813104299924621,0.6344639766212276,-0.10282909591441716,endpoint-excluded
endpoint-excluded encoder,impaired_fecundity_status,1,2224,807,0.38766369409840573,0.2813104299924621,1.3780637074451647,0.10635326410594365,endpoint-excluded
endpoint-excluded encoder,impaired_fecundity_status,2,242,94,0.4102911449461803,0.2813104299924621,1.4584995833861345,0.1289807149537182,endpoint-excluded
full-domain encoder,contraceptive_vulnerability,0,2422,255,0.10078124517214518,0.07810607985777983,1.2903124232537804,0.02267516531436535,full-domain
full-domain encoder,contraceptive_vulnerability,1,1359,52,0.03472859752771472,0.07810607985777983,0.44463372878206925,-0.04337748233006511,full-domain
full-domain encoder,contraceptive_vulnerability,2,1112,98,0.08527847338307433,0.07810607985777983,1.0918288760408206,0.0071723935252945015,full-domain
full-domain encoder,fertility_service_or_loss_help,0,2422,422,0.1762444790505927,0.11100773395980593,1.5876774776287923,0.06523674509078678,full-domain
full-domain encoder,fertility_service_or_loss_help,1,1359,52,0.03547483195544855,0.11100773395980593,0.3195708144830107,-0.07553290200435737,full-domain
full-domain encoder,fertility_service_or_loss_help,2,1112,81,0.06921981148844643,0.11100773395980593,0.623558458670184,-0.0417879224713595,full-domain
full-domain encoder,unintended_mistimed_pregnancy_history,0,2422,1670,0.6851714326395432,0.3420909272258648,2.0028927343845053,0.34308050541367835,full-domain
full-domain encoder,unintended_mistimed_pregnancy_history,1,1359,19,0.011714267890205528,0.3420909272258648,0.03424314110052737,-0.3303766593356593,full-domain
full-domain encoder,unintended_mistimed_pregnancy_history,2,1112,49,0.037620909119844365,0.3420909272258648,0.10997341971307306,-0.3044700181060205,full-domain
full-domain encoder,adverse_pregnancy_history_proxy,0,2422,265,0.10797030369824247,0.05375458533071529,2.00857848747181,0.05421571836752718,full-domain
full-domain encoder,adverse_pregnancy_history_proxy,1,1359,1,0.00021550786089399952,0.05375458533071529,0.0040091065639912705,-0.05353907746982129,full-domain
full-domain encoder,adverse_pregnancy_history_proxy,2,1112,8,0.007326712418229749,0.05375458533071529,0.13629930122525338,-0.04642787291248554,full-domain
full-domain encoder,impaired_fecundity_status,0,2422,886,0.39122297472828843,0.2813104299924621,1.3907162089182812,0.10991254473582635,full-domain
full-domain encoder,impaired_fecundity_status,1,1359,257,0.168848106172657,0.2813104299924621,0.6002198573909308,-0.11246232381980509,full-domain
full-domain encoder,impaired_fecundity_status,2,1112,224,0.19215529908247697,0.2813104299924621,0.6830720748165147,-0.08915513090998511,full-domain
