variable,0,1,2
adverse_pregnancy_history_proxy,0.0050157245651619,0.0922176058459958,0.2217873513467232
age_analysis,24.78199369301904,34.41290329246078,36.156135374844425
contraceptive_vulnerability,0.0564264435882025,0.1038013269058726,0.0760150093434948
fertility_service_or_loss_help,0.043121984723298,0.1824048410995679,0.1855565603317104
has_pregnancy_record,0.0315371272689777,0.9996776666838092,0.9544702306770572
impaired_fecundity_status,0.1784813340780449,0.3876636940984057,0.4102911449461803
parity,0.0389464947116578,1.935117095964603,2.5505382160038392
poverty,340.2897820628269,278.9915687289366,229.23850647317647
preg_n_records,0.0549527439068091,2.606997873202156,3.497277945401162
unintended_mistimed_pregnancy_history,0.0230989480998065,0.669593266728918,0.7638836000050179
