analysis,endpoint,phenotype,n,events,weighted_prevalence,baseline_weighted_prevalence,prevalence_ratio,risk_difference
2022-2023 age 15-44,adverse_pregnancy_history_proxy,0,2426,7,0.0050160261055964,0.0537545853307152,0.0933134554891695,-0.0487385592251188
2022-2023 age 15-44,adverse_pregnancy_history_proxy,1,2228,220,0.0923915840958484,0.0537545853307152,1.7187665671202947,0.0386369987651331
2022-2023 age 15-44,adverse_pregnancy_history_proxy,2,239,47,0.2210510039161538,0.0537545853307152,4.112226009300933,0.1672964185854385
2022-2023 age 15-44,contraceptive_vulnerability,0,2426,146,0.0564298358905698,0.0781060798577798,0.7224768672723132,-0.0216762439672099
2022-2023 age 15-44,contraceptive_vulnerability,1,2228,239,0.1040055633673551,0.0781060798577798,1.3315936935605357,0.0258994835095753
2022-2023 age 15-44,contraceptive_vulnerability,2,239,20,0.0739161973760072,0.0781060798577798,0.946356512970542,-0.0041898824817726
2022-2023 age 15-44,fertility_service_or_loss_help,0,2426,114,0.0431245771746658,0.1110077339598059,0.3884826366267462,-0.0678831567851401
2022-2023 age 15-44,fertility_service_or_loss_help,1,2228,397,0.1822528506288857,0.1110077339598059,1.6418031800818176,0.0712451166690798
2022-2023 age 15-44,fertility_service_or_loss_help,2,239,44,0.1868327609651592,0.1110077339598059,1.6830607589270157,0.0758250270053532
2022-2023 age 15-44,impaired_fecundity_status,0,2426,466,0.1784920642005479,0.2813104299924621,0.6345021199723409,-0.1028183657919141
2022-2023 age 15-44,impaired_fecundity_status,1,2228,808,0.3874014793540417,0.2813104299924621,1.3771315886311872,0.1060910493615795
2022-2023 age 15-44,impaired_fecundity_status,2,239,93,0.4125646584932764,0.2813104299924621,1.4665814506214054,0.1312542285008143
2022-2023 age 15-44,unintended_mistimed_pregnancy_history,0,2426,51,0.0231003367858789,0.3420909272258648,0.0675268910906455,-0.3189905904399859
2022-2023 age 15-44,unintended_mistimed_pregnancy_history,1,2228,1510,0.6698685811043681,0.3420909272258648,1.9581594476549469,0.3277776538785033
2022-2023 age 15-44,unintended_mistimed_pregnancy_history,2,239,177,0.7616235475954177,0.3420909272258648,2.226377512469243,0.4195326203695529
2022-2023 age 15-49,adverse_pregnancy_history_proxy,0,2579,10,0.0063189361873685,0.0647071732701605,0.09765433827539,-0.0583882370827919
2022-2023 age 15-49,adverse_pregnancy_history_proxy,1,2691,284,0.1046012556312836,0.0647071732701605,1.616532609059592,0.0398940823611231
2022-2023 age 15-49,adverse_pregnancy_history_proxy,2,315,61,0.2102304716236917,0.0647071732701605,3.248951561304546,0.1455232983535312
2022-2023 age 15-49,contraceptive_vulnerability,0,2579,161,0.0585198476361596,0.0815943345635548,0.7172047906166557,-0.0230744869273951
2022-2023 age 15-49,contraceptive_vulnerability,1,2691,284,0.1025165393862851,0.0815943345635548,1.2564173718021288,0.0209222048227303
2022-2023 age 15-49,contraceptive_vulnerability,2,315,30,0.0958836947262739,0.0815943345635548,1.1751268668241788,0.0142893601627191
2022-2023 age 15-49,fertility_service_or_loss_help,0,2579,135,0.0468796422246942,0.1196528895859815,0.3917969920066737,-0.0727732473612873
2022-2023 age 15-49,fertility_service_or_loss_help,1,2691,488,0.1860819937234585,0.1196528895859815,1.5551817792895135,0.0664291041374769
2022-2023 age 15-49,fertility_service_or_loss_help,2,315,51,0.1609993262535199,0.1196528895859815,1.345553181461842,0.0413464366675384
2022-2023 age 15-49,impaired_fecundity_status,0,2579,531,0.1889249554256395,0.3279816771066257,0.5760228958284787,-0.1390567216809861
2022-2023 age 15-49,impaired_fecundity_status,1,2691,1111,0.450886942299547,0.3279816771066257,1.3747321078334664,0.1229052651929212
2022-2023 age 15-49,impaired_fecundity_status,2,315,136,0.4407569334802628,0.3279816771066257,1.3438462092410557,0.1127752563736371
2022-2023 age 15-49,unintended_mistimed_pregnancy_history,0,2579,62,0.0262735847024686,0.3764776823392567,0.0697878943028358,-0.3502040976367881
2022-2023 age 15-49,unintended_mistimed_pregnancy_history,1,2691,1838,0.6759852430201044,0.3764776823392567,1.7955519669050428,0.2995075606808476
2022-2023 age 15-49,unintended_mistimed_pregnancy_history,2,315,233,0.7444816401571044,0.3764776823392567,1.9774920933725544,0.3680039578178476
