epoch,masked_mse
1,1.3779861338440023
2,1.3215759490314656
3,1.2738003881421018
4,1.2416975301346227
5,1.2458473699257917
6,1.2576768399068539
7,1.2217675118009275
8,1.1598815164951046
9,1.0730926982063957
10,1.0392072141779125
11,1.0317672256409818
12,0.9789835779752917
13,0.9953669072641929
14,0.9702123860822004
15,0.9459814252778684
16,0.9142813392848483
17,0.8955703824993801
18,0.9027564722657552
19,0.8994724590327051
20,0.8790907964748633
21,0.8555289371887838
22,0.8328759207217159
23,0.8178784184065716
24,0.8360290071980951
25,0.8743816262623655
26,0.8402177848381808
27,0.8499119492408616
28,0.8150312764869931
29,0.808302440443403
30,0.7958637326728787
